Index	Township	Range	Meridian	"Soil organic matter (0-6"")(%)"	Soil texture	Spring soil moisture	"Soil pH (0-6"" or 0-12"")"	"Soil EC (0-6"" or 0-12"")(mS/cm)"	Crop	Irrigation	Growing season precipitation (May-Aug)(mm)	"Irrigation water amount	 if irrigated (mm)"	Nitrogen fertilizer product	Nitrogen fertilizer application timing	Nitrogen fertilizer application placement	"Soil test nitrogen (0-24"") (lb N/ac)"	Previous crop	Previous crop yield	Previous crop yield unit	Residue management	Crop available nitrogen from applied manure (lb N/ac)	Expected crop price ($/bu)	Fertilizer price ($/tonne)	Investment ratio
1	9	27	W4	7	4	1|2|3	7.4	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
2	9	27	W4	4.4	3	1|2|3	8	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
3	9	27	W4	4	3	1|2|3	7.3	1	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
4	9	26	W4	7	4	1|2|3	7.4	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
5	9	26	W4	4.4	3	1|2|3	7.8	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
6	9	26	W4	4	3	1|2|3	7.3	1	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
7	9	27	W4	4.4	3	1|2|3	7.7	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
8	9	27	W4	4.7	3	1|2|3	7.4	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
9	9	27	W4	5.3	4	1|2|3	6.9	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
10	9	27	W4	4.7	3	1|2|3	7.8	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
11	9	27	W4	9.1	3	1|2|3	7.3	6	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
12	10	27	W4	5.3	4	1|2|3	7.9	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
13	10	27	W4	7	4	1|2|3	7.8	10	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
14	10	27	W4	4.7	3	1|2|3	7.5	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
15	10	27	W4	4.4	3	1|2|3	8	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
16	11	28	W4	7	4	1|2|3	7.9	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
17	11	28	W4	5.3	4	1|2|3	7.9	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
18	11	28	W4	9.1	3	1|2|3	7.3	6	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
19	9	27	W4	5.8	3	1|2|3	7.7	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
20	9	27	W4	4.7	3	1|2|3	7.8	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
21	9	27	W4	4.7	3	1|2|3	7.5	0	11	1			6	2	1	7.5	7	0	2	2	0	11.97	955	1.5
22	11	24	W4	5.8	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
23	11	24	W4	4.7	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
24	12	24	W4	5.8	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
25	12	24	W4	4.7	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
26	12	25	W4	5.8	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
27	12	25	W4	4.7	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
28	11	25	W4	5.8	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
29	11	25	W4	7	4	1|2|3	7.9	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
30	11	25	W4	4.7	3	1|2|3	7.5	0	11	1			6	2	1	9.6	7	0	2	2	0	11.97	955	1.5
31	52	17	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
32	52	17	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
33	52	17	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
34	53	17	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
35	53	17	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
36	53	17	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
37	54	17	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
38	54	17	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
39	54	17	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
40	53	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
41	53	18	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
42	53	18	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
43	54	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
44	54	18	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
45	54	18	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
46	53	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
47	53	19	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
48	53	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
49	53	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
50	53	18	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
51	53	18	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
52	52	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
53	52	18	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
54	52	18	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
55	52	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
56	52	19	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
57	52	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
58	53	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
59	53	19	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
